name ,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper
6,2.3292e-06,0.8390000000000001,5.6,0.00208806,0.0011797399999999999,0.0012402199999999998,0.00011450200000000001,0.35319999999999996,0.3392,0.4904,0.8,9.27e-15,7.089600000000001e-15,8.182200000000001e-15,4.1274e-06,3.1173999999999996e-06,3.6227999999999994e-06
7,2.3292e-06,0.8390000000000001,5.6,0.00199772,0.0017464199999999998,0.0017669600000000001,3.4992599999999994e-05,0.477,0.31860000000000005,0.26060000000000005,0.4,1.3208599999999998e-14,1.06088e-14,1.19108e-14,5.4735999999999996e-06,4.397200000000001e-06,4.935399999999999e-06
8,2.3292e-06,0.8390000000000001,5.6,0.00114218,0.0009314400000000001,0.00094144,2.5787999999999998e-05,0.43660000000000004,0.4064,0.30799999999999994,0.4,7.9604e-15,6.026479999999999e-15,6.995400000000001e-15,3.0814e-06,2.2933800000000002e-06,2.6909200000000005e-06
9,2.3292e-06,0.8390000000000001,5.6,0.003153333333333333,0.0019536666666666665,0.002150333333333333,0.00024639999999999997,0.5619999999999999,0.37533333333333335,0.41766666666666663,0.0,1.2905200000000002e-14,5.5782799999999996e-15,9.2886e-15,6.6526000000000005e-06,2.7763e-06,4.7388e-06
10,2.3292e-06,0.8390000000000001,5.6,0.009067,0.001665,0.003328,0.0019,0.947,0.948,0.483,0.0,1.004625e-14,1.68275e-15,4.17525e-15,5.5936e-06,9.6366e-07,2.58e-06
11,2.3292e-06,0.8390000000000001,5.6,0.002282666666666667,0.0015671666666666666,0.001658,0.00013839666666666666,0.29933333333333334,0.35666666666666663,0.3873333333333333,0.3333333333333333,1.0968e-14,4.2762e-15,7.686999999999999e-15,5.9848e-06,2.33942e-06,4.1884e-06
12,2.3292e-06,0.8390000000000001,5.6,0.0026876666666666663,0.0015258666666666668,0.0016587666666666669,0.00019383333333333332,0.243,0.15733333333333335,0.4523333333333334,0.3333333333333333,1.6703600000000003e-14,5.689e-15,1.11248e-14,4.7902e-06,1.82874e-06,2.8856e-06
0,1.8803e-07,0.4913333333333334,2.6666666666666665,,,,,,,,,3.787e-16,4.7024499999999995e-17,2.1285e-16,5.309e-07,1.505e-07,3.407e-07
1,1.8803e-07,0.4913333333333334,2.6666666666666665,0.0003473,0.00020135000000000002,0.0002343,3.4905e-05,0.7125,0.72,0.5015,0.5,1.07385e-15,4.387e-16,7.607e-16,4.697e-07,1.752e-07,3.225e-07
2,1.8803e-07,0.4913333333333334,2.6666666666666665,0.00029955,0.0001222,0.0001588,4.45e-05,0.8355,0.605,0.586,1.0,6.674e-16,1.75e-16,4.2479999999999997e-16,5.158e-07,1.251e-07,3.205e-07
3,1.8803e-07,0.4913333333333334,2.6666666666666665,0.00043835,0.00013099999999999999,0.0002608,0.00010837999999999999,0.9744999999999999,0.9855,0.798,2.0,9.656e-16,4.3336666666666665e-16,7.039e-16,6.029e-07,2.79065e-07,4.4194999999999996e-07
4,1.8803e-07,0.4913333333333334,2.6666666666666665,,,,,,,,,,,,,,
5,1.8803e-07,0.4913333333333334,2.6666666666666665,,,,,,,,,,,,,,
6,1.8803e-07,0.4913333333333334,2.6666666666666665,,,,,,,,,,,,,,
7,1.8803e-07,0.4913333333333334,2.6666666666666665,,,,,,,,,,,,,,
0,2.1402000000000003e-05,1.0,8.0,0.00470125,0.002355175,0.0027173500000000003,0.000479975,0.49124999999999996,0.5115000000000001,0.501,0.75,2.90375e-14,1.4279e-14,2.17915e-14,1.19124e-05,5.0157999999999995e-06,7.2724e-06
